 ,新字体,旧字体,部首,総画数,学年,追加年,削除年,カナ,カナ,カナ,カナ,カナ,かな,かな,かな,かな,かな,かな,かな
,亜,亞,二,,S,,,ア,,,,,,,,,,,
,哀,,口,,S,,,アイ,,,,,あわ-れ,あわ-れむ,,,,,
,挨,,手,,S,,,アイ,,,,,,,,,,,
,愛,,心,,,,,アイ,,,,,,,,,,,
,曖,,日,,S,,,アイ,,,,,,,,,,,
,悪,惡,心,,,,,アク,オ,,,,わる-い,,,,,,
,握,,手,,S,,,アク,,,,,にぎ-る,,,,,,
,圧,壓,土,,,,,アツ,,,,,,,,,,,
,扱,,手,,S,,,,,,,,あつか-う,,,,,,
,宛,,宀,,S,,,,,,,,あ-てる,,,,,,
,嵐,,山,,S,,,,,,,,あらし,,,,,,
,安,,宀,,,,,アン,,,,,やす-い,,,,,,
,案,,木,,,,,アン,,,,,,,,,,,
,暗,,日,,,,,アン,,,,,くら-い,,,,,,
,以,,人,,,,,イ,,,,,,,,,,,
,衣,,衣,,,,,イ,,,,,ころも,,,,,,
,位,,人,,,,,イ,,,,,くらい,,,,,,
,囲,圍,囗,,,,,イ,,,,,かこ-む,かこ-う,,,,,
,医,醫,酉,,,,,イ,,,,,,,,,,,
,依,,人,,S,,,イ,（エ）,,,,,,,,,,
,委,,女,,,,,イ,,,,,ゆだ-ねる,,,,,,
,威,,女,,S,,,イ,,,,,,,,,,,
,為,爲,爪,,S,,,イ,,,,,,,,,,,
,畏,,田,,S,,,イ,,,,,おそ-れる,,,,,,
,胃,,肉,,,,,イ,,,,,,,,,,,
,尉,,寸,,S,,,イ,,,,,,,,,,,
,異,,田,,,,,イ,,,,,こと,,,,,,
,移,,禾,,,,,イ,,,,,うつ-る,うつ-す,,,,,
,萎,,艸,,S,,,イ,,,,,な-える,,,,,,
,偉,,人,,S,,,イ,,,,,えら-い,,,,,,
,椅,,木,,S,,,イ,,,,,,,,,,,
,彙 ,,彐,,S,,,イ,,,,,,,,,,,
,意,,心,,,,,イ,,,,,,,,,,,
,違,,辵,,S,,,イ,,,,,ちが-う,ちが-える,,,,,
,維,,糸,,S,,,イ,,,,,,,,,,,
,慰,,心,,S,,,イ,,,,,なぐさ-める,なぐさ-む,,,,,
,遺,,辵,,,,,イ,（ユイ）,,,,,,,,,,
,緯,,糸,,S,,,イ,,,,,,,,,,,
,域,,土,,,,,イキ,,,,,,,,,,,
,育,,肉,,,,,イク,,,,,そだ-つ,そだ-てる,はぐく-む,,,,
,一,,一,,,,,イチ,イツ,,,,ひと,ひと-つ,,,,,
,壱,壹,士,,S,,,イチ,,,,,,,,,,,
,逸,逸 ,辵,,S,,,イツ,,,,,,,,,,,
,茨 ,,艸,,S,,,,,,,,（いばら）,,,,,,
,芋,,艸,,S,,,,,,,,いも,,,,,,
,引,,弓,,,,,イン,,,,,ひ-く,ひ-ける,,,,,
,印,,卩,,,,,イン,,,,,しるし,,,,,,
,因,,囗,,,,,イン,,,,,よ-る,,,,,,
,咽,,口,,S,,,イン,,,,,,,,,,,
,姻,,女,,S,,,イン,,,,,,,,,,,
,員,,口,,,,,イン,,,,,,,,,,,
,院,,阜,,,,,イン,,,,,,,,,,,
,淫 ,,水,,S,,,イン,,,,,みだ-ら,,,,,,
,陰,,阜,,S,,,イン,,,,,かげ,かげ-る,,,,,
,飲,,食,,,,,イン,,,,,の-む,,,,,,
,隠,隱,阜,,S,,,イン,,,,,かく-す,かく-れる,,,,,
,韻,,音,,S,,,イン,,,,,,,,,,,
,右,,口,,,,,ウ,ユウ,,,,みぎ,,,,,,
,宇,,宀,,,,,ウ,,,,,,,,,,,
,羽,,羽,,,,,ウ,,,,,は,はね,,,,,
